192.168.0.1   : [0], 84 bytes, 4.37 ms (4.37 avg, 0% loss)
192.168.0.3   : [0], 84 bytes, 79.4 ms (79.4 avg, 0% loss)
192.168.0.6   : [0], 84 bytes, 3.46 ms (3.46 avg, 0% loss)
192.168.0.2   : [0], 84 bytes, 107 ms (107 avg, 0% loss)
192.168.0.8   : [0], 84 bytes, 0.44 ms (0.44 avg, 0% loss)
192.168.0.7   : [0], 84 bytes, 114 ms (114 avg, 0% loss)
192.168.0.5   : [0], 84 bytes, 215 ms (215 avg, 0% loss)
192.168.0.4   : [0], 84 bytes, 332 ms (332 avg, 0% loss)
192.168.0.49  : [0], 84 bytes, 2103 ms (2103 avg, 0% loss)
192.168.0.1   : [1], 84 bytes, 2.43 ms (3.40 avg, 0% loss)
192.168.0.2   : [1], 84 bytes, 114 ms (111 avg, 0% loss)
192.168.0.3   : [1], 84 bytes, 89.6 ms (84.5 avg, 0% loss)
192.168.0.7   : [1], 84 bytes, 25.5 ms (70.0 avg, 0% loss)
192.168.0.8   : [1], 84 bytes, 0.37 ms (0.40 avg, 0% loss)
192.168.0.6   : [1], 84 bytes, 115 ms (59.5 avg, 0% loss)
192.168.0.5   : [1], 84 bytes, 219 ms (217 avg, 0% loss)
192.168.0.4   : [1], 84 bytes, 247 ms (290 avg, 0% loss)
192.168.0.49  : [1], 84 bytes, 6.57 ms (1054 avg, 0% loss)
192.168.0.1   : [2], 84 bytes, 61.6 ms (22.8 avg, 0% loss)
192.168.0.3   : [2], 84 bytes, 14.2 ms (61.1 avg, 0% loss)
192.168.0.6   : [2], 84 bytes, 2.96 ms (40.6 avg, 0% loss)
192.168.0.7   : [2], 84 bytes, 3.02 ms (47.6 avg, 0% loss)
192.168.0.2   : [2], 84 bytes, 143 ms (121 avg, 0% loss)
192.168.0.8   : [2], 84 bytes, 0.60 ms (0.47 avg, 0% loss)
192.168.0.4   : [2], 84 bytes, 168 ms (249 avg, 0% loss)
192.168.0.5   : [2], 84 bytes, 356 ms (264 avg, 0% loss)
192.168.0.49  : [2], 84 bytes, 3.04 ms (704 avg, 0% loss)
192.168.0.1   : [0], 84 bytes, 4.53 ms (4.53 avg, 0% loss)
192.168.0.3   : [0], 84 bytes, 85.3 ms (85.3 avg, 0% loss)
192.168.0.2   : [0], 84 bytes, 111 ms (111 avg, 0% loss)
192.168.0.7   : [0], 84 bytes, 20.5 ms (20.5 avg, 0% loss)
192.168.0.8   : [0], 84 bytes, 0.68 ms (0.68 avg, 0% loss)
192.168.0.6   : [0], 84 bytes, 109 ms (109 avg, 0% loss)
192.168.0.5   : [0], 84 bytes, 228 ms (228 avg, 0% loss)
192.168.0.49  : [0], 84 bytes, 3.49 ms (3.49 avg, 0% loss)
192.168.0.1   : [1], 84 bytes, 2.07 ms (3.30 avg, 0% loss)
192.168.0.2   : [1], 84 bytes, 19.5 ms (65.5 avg, 0% loss)
192.168.0.6   : [1], 84 bytes, 18.1 ms (63.8 avg, 0% loss)
192.168.0.3   : [1], 84 bytes, 97.0 ms (91.2 avg, 0% loss)
192.168.0.7   : [1], 84 bytes, 2.73 ms (11.6 avg, 0% loss)
192.168.0.8   : [1], 84 bytes, 0.67 ms (0.67 avg, 0% loss)
192.168.0.5   : [1], 84 bytes, 441 ms (334 avg, 0% loss)
192.168.0.49  : [1], 84 bytes, 243 ms (123 avg, 0% loss)
192.168.0.101 : [1], 84 bytes, 31.0 ms (31.0 avg, 50% loss)
192.168.0.1   : [2], 84 bytes, 2.24 ms (2.94 avg, 0% loss)
192.168.0.2   : [2], 84 bytes, 24.8 ms (52.0 avg, 0% loss)
192.168.0.6   : [2], 84 bytes, 25.0 ms (50.9 avg, 0% loss)
192.168.0.3   : [2], 84 bytes, 102 ms (94.8 avg, 0% loss)
192.168.0.7   : [2], 84 bytes, 2.69 ms (8.65 avg, 0% loss)
192.168.0.8   : [2], 84 bytes, 0.60 ms (0.65 avg, 0% loss)
192.168.0.5   : [2], 84 bytes, 496 ms (388 avg, 0% loss)
192.168.0.49  : [2], 84 bytes, 5.83 ms (84.1 avg, 0% loss)
192.168.0.101 : [2], 84 bytes, 9.09 ms (20.0 avg, 33% loss)
